"X1","X2"
"Allison G Harvey","Lisa S Talbot"
"Allison G Harvey","Katherine A Kaplan"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Polina Eidelman"
"Allison G Harvey","Lisa S Talbot"
"Allison G Harvey","Allison G Harvey"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Sunny Dutra"
"Allison G Harvey","Polina Eidelman"
"Allison G Harvey","Sheri L Johnson"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Sunny Dutra"
"Allison G Harvey","Polina Eidelman"
"Allison G Harvey","Sheri L Johnson"
"Allison G Harvey","Allison G Harvey"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Julie N Lemoine"
"Allison G Harvey","Robert T Knight"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Julie N Lemoine"
"Allison G Harvey","Robert T Knight"
"Allison G Harvey","Allison G Harvey"
"Allison G Harvey","Lisa S Talbot"
"Allison G Harvey","Susan Stone"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Ilana S Hairston"
"Allison G Harvey","Polina Eidelman"
"Allison G Harvey","Lisa S Talbot"
"Allison G Harvey","Susan Stone"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Ilana S Hairston"
"Allison G Harvey","Polina Eidelman"
"Allison G Harvey","Allison G Harvey"
"Allison G Harvey","June Gruber"
"Allison G Harvey","David J Miklowitz"
"Allison G Harvey","Ellen Frank"
"Allison G Harvey","David Kupfer"
"Allison G Harvey","Michael E Thase"
"Allison G Harvey","Gary S Sachs"
"Allison G Harvey","Terence A Ketter"
"Allison G Harvey","June Gruber"
"Allison G Harvey","David J Miklowitz"
"Allison G Harvey","Allison G Harvey"
"Allison G Harvey","Ellen Frank"
"Allison G Harvey","David Kupfer"
"Allison G Harvey","Michael E Thase"
"Allison G Harvey","Gary S Sachs"
"Allison G Harvey","Terence A Ketter"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Polina Eidelman"
"Allison G Harvey","Allison G Harvey"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Polina Eidelman"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Allison G Harvey"
"Allison G Harvey","Sheri L Johnson"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Sheri L Johnson"
"Allison G Harvey","Polina Eidelman"
"Allison G Harvey","Lisa S Talbot"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Allison G Harvey"
"Allison G Harvey","Polina Eidelman"
"Allison G Harvey","Lisa S Talbot"
"Allison G Harvey","June Gruber"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Allison G Harvey"
"Allison G Harvey","James J Gross"
"Allison G Harvey","June Gruber"
"Allison G Harvey","James J Gross"
"Allison G Harvey","Katherine A Kaplan"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Polina Eidelman"
"Allison G Harvey","Lisa S Talbot"
"Allison G Harvey","Allison G Harvey"
"Allison G Harvey","Katherine A Kaplan"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Polina Eidelman"
"Allison G Harvey","Lisa S Talbot"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Sunny Dutra"
"Allison G Harvey","Polina Eidelman"
"Allison G Harvey","Sheri L Johnson"
"Allison G Harvey","Allison G Harvey"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Sunny Dutra"
"Allison G Harvey","Polina Eidelman"
"Allison G Harvey","Sheri L Johnson"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Julie N Lemoine"
"Allison G Harvey","Robert T Knight"
"Allison G Harvey","Allison G Harvey"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Julie N Lemoine"
"Allison G Harvey","Robert T Knight"
"Allison G Harvey","Lisa S Talbot"
"Allison G Harvey","Susan Stone"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Ilana S Hairston"
"Allison G Harvey","Polina Eidelman"
"Allison G Harvey","Allison G Harvey"
"Allison G Harvey","Lisa S Talbot"
"Allison G Harvey","Susan Stone"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Ilana S Hairston"
"Allison G Harvey","Polina Eidelman"
"Allison G Harvey","June Gruber"
"Allison G Harvey","David J Miklowitz"
"Allison G Harvey","Allison G Harvey"
"Allison G Harvey","Ellen Frank"
"Allison G Harvey","David Kupfer"
"Allison G Harvey","Michael E Thase"
"Allison G Harvey","Gary S Sachs"
"Allison G Harvey","Terence A Ketter"
"Allison G Harvey","June Gruber"
"Allison G Harvey","David J Miklowitz"
"Allison G Harvey","Ellen Frank"
"Allison G Harvey","David Kupfer"
"Allison G Harvey","Michael E Thase"
"Allison G Harvey","Gary S Sachs"
"Allison G Harvey","Terence A Ketter"
"Adam B Cohen","June Gruber"
"Adam B Cohen","Dacher Keltner"
"Adam B Cohen","Adam B Cohen"
"Adam B Cohen","June Gruber"
"Adam B Cohen","Dacher Keltner"
"Adam B Cohen","Christopher Oveis"
"Adam B Cohen","June Gruber"
"Adam B Cohen","Michelle N Shiota"
"Adam B Cohen","Jonathan Haidt"
"Adam B Cohen","Dacher Keltner"
"Adam B Cohen","Christopher Oveis"
"Adam B Cohen","Adam B Cohen"
"Adam B Cohen","June Gruber"
"Adam B Cohen","Michelle N Shiota"
"Adam B Cohen","Jonathan Haidt"
"Adam B Cohen","Dacher Keltner"
"Adam B Cohen","Christopher Oveis"
"Adam B Cohen","Adam B Cohen"
"Adam B Cohen","June Gruber"
"Adam B Cohen","Michelle N Shiota"
"Adam B Cohen","Jonathan Haidt"
"Adam B Cohen","Dacher Keltner"
"Adam B Cohen","Adam B Cohen"
"Adam B Cohen","June Gruber"
"Adam B Cohen","Dacher Keltner"
"Adam B Cohen","June Gruber"
"Adam B Cohen","Dacher Keltner"
"Adam B Cohen","Christopher Oveis"
"Adam B Cohen","Adam B Cohen"
"Adam B Cohen","June Gruber"
"Adam B Cohen","Michelle N Shiota"
"Adam B Cohen","Jonathan Haidt"
"Adam B Cohen","Dacher Keltner"
"Adam B Cohen","Christopher Oveis"
"Adam B Cohen","June Gruber"
"Adam B Cohen","Michelle N Shiota"
"Adam B Cohen","Jonathan Haidt"
"Adam B Cohen","Dacher Keltner"
"Adam B Cohen","Christopher Oveis"
"Adam B Cohen","Adam B Cohen"
"Adam B Cohen","June Gruber"
"Adam B Cohen","Michelle N Shiota"
"Adam B Cohen","Jonathan Haidt"
"Adam B Cohen","Dacher Keltner"
"Adam B Cohen","E J Horberg"
"Adam B Cohen","Christopher Oveis"
"Adam B Cohen","Dacher Keltner"
"Adam B Cohen","Christopher Oveis"
"Adam B Cohen","Adam B Cohen"
"Adam B Cohen","June Gruber"
"Adam B Cohen","Michelle N Shiota"
"Adam B Cohen","Jonathan Haidt"
"Adam B Cohen","Dacher Keltner"
"Adam B Cohen","Christopher Oveis"
"Adam B Cohen","Adam B Cohen"
"Adam B Cohen","June Gruber"
"Adam B Cohen","Michelle N Shiota"
"Adam B Cohen","Jonathan Haidt"
